id,name,category,conductivity_w_mk,emissivity,density_kg_m3,spec_heat_cap_J_kgK,roughness,thermal_absorptance,solar_absorptance,visible_absorptance,color,source,notes
2270,"Air layer, unventilated, downwards, thickness: 100 mm",Air: Downward Heatflow,0.455,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2240,"Air layer, unventilated, downwards, thickness: 10 mm",Air: Downward Heatflow,0.067,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2271,"Air layer, unventilated, downwards, thickness: 110 mm",Air: Downward Heatflow,0.499,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2241,"Air layer, unventilated, downwards, thickness: 11 mm",Air: Downward Heatflow,0.071,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2272,"Air layer, unventilated, downwards, thickness: 120 mm",Air: Downward Heatflow,0.543,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2242,"Air layer, unventilated, downwards, thickness: 12 mm",Air: Downward Heatflow,0.076,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2273,"Air layer, unventilated, downwards, thickness: 130 mm",Air: Downward Heatflow,0.587,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2243,"Air layer, unventilated, downwards, thickness: 13 mm",Air: Downward Heatflow,0.08,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2274,"Air layer, unventilated, downwards, thickness: 140 mm",Air: Downward Heatflow,0.631,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2244,"Air layer, unventilated, downwards, thickness: 14 mm",Air: Downward Heatflow,0.084,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2275,"Air layer, unventilated, downwards, thickness: 150 mm",Air: Downward Heatflow,0.674,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2245,"Air layer, unventilated, downwards, thickness: 15 mm",Air: Downward Heatflow,0.088,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2276,"Air layer, unventilated, downwards, thickness: 160 mm",Air: Downward Heatflow,0.718,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2246,"Air layer, unventilated, downwards, thickness: 16 mm",Air: Downward Heatflow,0.093,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2277,"Air layer, unventilated, downwards, thickness: 170 mm",Air: Downward Heatflow,0.761,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2247,"Air layer, unventilated, downwards, thickness: 17 mm",Air: Downward Heatflow,0.098,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2278,"Air layer, unventilated, downwards, thickness: 180 mm",Air: Downward Heatflow,0.804,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2248,"Air layer, unventilated, downwards, thickness: 18 mm",Air: Downward Heatflow,0.102,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2279,"Air layer, unventilated, downwards, thickness: 190 mm",Air: Downward Heatflow,0.846,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2249,"Air layer, unventilated, downwards, thickness: 19 mm",Air: Downward Heatflow,0.107,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2231,"Air layer, unventilated, downwards, thickness: 1 mm",Air: Downward Heatflow,0.046,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2280,"Air layer, unventilated, downwards, thickness: 200 mm",Air: Downward Heatflow,0.889,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2250,"Air layer, unventilated, downwards, thickness: 20 mm",Air: Downward Heatflow,0.111,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2281,"Air layer, unventilated, downwards, thickness: 210 mm",Air: Downward Heatflow,0.931,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2251,"Air layer, unventilated, downwards, thickness: 21 mm",Air: Downward Heatflow,0.115,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2282,"Air layer, unventilated, downwards, thickness: 220 mm",Air: Downward Heatflow,0.974,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2252,"Air layer, unventilated, downwards, thickness: 22 mm",Air: Downward Heatflow,0.12,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2283,"Air layer, unventilated, downwards, thickness: 230 mm",Air: Downward Heatflow,1.016,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2253,"Air layer, unventilated, downwards, thickness: 23 mm",Air: Downward Heatflow,0.124,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2284,"Air layer, unventilated, downwards, thickness: 240 mm",Air: Downward Heatflow,1.057,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
2254,"Air layer, unventilated, downwards, thickness: 24 mm",Air: Downward Heatflow,0.128,0.9,0.0,0.0,Rough,0.0,0.0,0.0,"255,175,240,255",ISO 6946 Method,
