category,name,conductivity,emissivity,source,comments,color_argb
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 1 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 2 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 3 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 4 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 5 mm",0.046,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 6 mm",0.05,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 7 mm",0.054,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 8 mm",0.059,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 9 mm",0.063,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 10 mm",0.067,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 11 mm",0.071,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 12 mm",0.076,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 13 mm",0.08,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 14 mm",0.084,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 15 mm",0.088,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 16 mm",0.093,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 17 mm",0.098,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 18 mm",0.102,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 19 mm",0.107,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Downward Heat Flow],"Air layer, unventilated, downwards, thickness: 20 mm",0.111,0.9,ISO 6946 Method,,"255,175,240,255"
