name,category,conductivity_w_mk,conductivity_btu_hr_ft_F,resistivity_hr_ft2_F_Btu_in,emissivity,ARGB_COLOR,display_name,source,comments
CLT,Woods,0.120,0.0693,1.202,0.90,"255,128,64,0",CLT [R-1.2/in.],,
Hardwood,Woods,0.130,0.0751,1.109,0.90,"255,255,128,0",Hardwood [R-1.11/in.],WUFI-Passive Database,
OSB,Woods,0.130,0.0750,1.111,0.90,"255,247,210,125",OSB [R-1.11/in.],,
OSB 3 (oriented strand board),Woods,0.105,0.0606,1.375,0.90,"255,247,210,125",OSB 3 (oriented strand board) [R-1.37/in.],WUFI-Passive Database,
Plywood (Typ),Woods,0.119,0.0690,1.208,0.90,"255,148,148,73",Plywood (Typ) [R-1.21/in.],,
Plywood (USA),Woods,0.119,0.0690,1.208,0.90,"255,148,148,73",Plywood (USA) [R-1.21/in.],WUFI-Passive Database,
Softwood,Woods,0.090,0.0520,1.603,0.90,"255,255,128,0",Softwood [R-1.6/in.],WUFI-Passive Database,
Stora Enso CLT,Woods,0.098,0.0566,1.472,0.90,"255,128,64,0",Stora Enso CLT [R-1.47/in.],WUFI-Passive Database,
"Wood, Coniferous (Softwood)",Woods,0.140,0.0810,1.029,0.90,"255,255,130,0","Wood, Coniferous (Softwood) [R-1.03/in.]",,
"Wood, Deciduous (Hardwood)",Woods,0.159,0.0920,0.906,0.90,"255,255,130,0","Wood, Deciduous (Hardwood) [R-0.91/in.]",,
Alum (Anodized),Metals,237.000,136.9360,0.001,0.80,"255,192,192,192",Alum (Anodized) [R-0/in.],,
Alum (Painted),Metals,160.000,92.4463,0.001,0.80,"255,192,192,192",Alum (Painted) [R-0/in.],,
Aluminium,Metals,200.000,115.5578,0.001,0.80,"255,192,192,192",Aluminium [R-0/in.],WUFI-Passive Database,
Steel (Plain Carbon),Metals,60.000,34.6674,0.002,0.90,"255,255,0,0",Steel (Plain Carbon) [R-0/in.],,
"Steel (Rolled, Ground)",Metals,50.000,28.8895,0.003,0.60,"255,255,0,0","Steel (Rolled, Ground) [R-0/in.]",,
Steel (Stainless),Metals,14.400,8.3200,0.010,0.90,"255,255,0,0",Steel (Stainless) [R-0.01/in.],,
Brick - Red Matte Clay,Masonry,0.495,0.2860,0.291,0.90,"255,185,160,115",Brick - Red Matte Clay [R-0.29/in.],WUFI-Passive Database,
Brick - Solid Extruded,Masonry,0.600,0.3467,0.240,0.90,"255,255,0,0",Brick - Solid Extruded [R-0.24/in.],WUFI-Passive Database,
Brick (Common),Masonry,0.720,0.4160,0.200,0.90,,Brick (Common) [R-0.2/in.],,
Cement Mortar,Masonry,0.431,0.2490,0.335,0.90,,Cement Mortar [R-0.33/in.],,
CMU (8in Empty Cores),Masonry,0.720,0.4160,0.200,0.90,,CMU (8in Empty Cores) [R-0.2/in.],,
CMU (8in Perlite Cores),Masonry,1.038,0.6000,0.139,0.90,,CMU (8in Perlite Cores) [R-0.14/in.],,
Concrete (Heavily Reinforced),Masonry,3.000,1.7334,0.048,0.90,"255,130,130,130",Concrete (Heavily Reinforced) [R-0.05/in.],,
Concrete (Reinforced),Masonry,2.500,1.4445,0.058,0.90,"255,160,160,160",Concrete (Reinforced) [R-0.06/in.],,
Concrete (Wufi),Masonry,0.793,0.4582,0.182,0.90,"255,130,130,130",Concrete (Wufi) [R-0.18/in.],WUFI-Passive Database,
Concrete Brick,Masonry,0.733,0.4235,0.197,0.90,"255,190,190,190",Concrete Brick [R-0.2/in.],WUFI-Passive Database,
Mortar - Portland Cement-Lime,Masonry,2.099,1.2130,0.069,0.90,,Mortar - Portland Cement-Lime [R-0.07/in.],,
Stone,Masonry,1.437,0.8300,0.100,0.90,"255,130,0,255",Stone [R-0.1/in.],,
DensElement Barrier System,Finishes,0.198,0.1143,0.729,0.90,,DensElement Barrier System [R-0.73/in.],,
Durock Cement Board,Finishes,0.370,0.2137,0.390,0.90,"255,145,166,150",Durock Cement Board [R-0.39/in.],,
Fiber Cement Board,Finishes,0.245,0.1416,0.589,0.90,,Fiber Cement Board [R-0.59/in.],,
Fiberglass,Finishes,0.035,0.0202,4.121,0.90,,Fiberglass [R-4.12/in.],,
GWB (Densglas Fireguard),Finishes,0.135,0.0780,1.068,0.90,"255,235,180,80",GWB (Densglas Fireguard) [R-1.07/in.],,
GWB (Densglas Sheathing,Finishes,0.128,0.0740,1.126,0.90,"255,235,180,80",GWB (Densglas Sheathing [R-1.13/in.],,
GWB (Typ),Finishes,0.170,0.0980,0.850,0.90,"255,185,200,195",GWB (Typ) [R-0.85/in.],,
GWB (USG Securock),Finishes,1.000,0.5778,0.144,0.90,"255,185,200,195",GWB (USG Securock) [R-0.14/in.],,
Gypsum Board (USA),Finishes,0.170,0.0980,0.850,0.90,"255,185,200,195",Gypsum Board (USA) [R-0.85/in.],WUFI-Passive Database,
Magnesium Board,Finishes,1.170,0.6760,0.123,0.90,"255,170,135,175",Magnesium Board [R-0.12/in.],,
Stucco,Finishes,0.722,0.4170,0.200,0.90,"255,245,145,140",Stucco [R-0.2/in.],,
AAC Block,Insulations,0.109,0.0630,1.323,0.90,"255,230,230,230",AAC Block [R-1.32/in.],,
Aerated Concrete,Insulations,0.119,0.0688,1.212,0.90,"255,230,230,230",Aerated Concrete [R-1.21/in.],WUFI-Passive Database,
Amer. Rockwool Prem. Plus Spray,Insulations,0.035,0.0201,4.140,0.90,,Amer. Rockwool Prem. Plus Spray [R-4.14/in.],,
AP Armaflex,Insulations,0.036,0.0208,4.006,0.90,,AP Armaflex [R-4.01/in.],,
Armartherm 500-150,Insulations,0.044,0.0253,3.290,0.90,,Armartherm 500-150 [R-3.29/in.],,
Armartherm 500-200,Insulations,0.058,0.0337,2.470,0.90,,Armartherm 500-200 [R-2.47/in.],,
Armartherm 500-250,Insulations,0.065,0.0374,2.230,0.90,,Armartherm 500-250 [R-2.23/in.],,
Armartherm FRR,Insulations,0.152,0.0877,0.950,0.90,,Armartherm FRR [R-0.95/in.],,
Aspen Aerogels - Spaceloft Grey,Insulations,0.014,0.0080,10.417,0.90,"255,190,190,190",Aspen Aerogels - Spaceloft Grey [R-10.42/in.],WUFI-Passive Database,
ccSPF,Insulations,0.022,0.0128,6.510,0.90,"255,200,200,120",ccSPF [R-6.51/in.],,
ccSPF w Metal Hangers,Insulations,0.026,0.0150,5.556,0.90,"255,200,200,120",ccSPF w Metal Hangers [R-5.56/in.],,
Cellulose (Denspack),Insulations,0.040,0.0230,3.623,0.90,"255,255,255,0",Cellulose (Denspack) [R-3.62/in.],,
Cellulose (Loose Fill),Insulations,0.045,0.0260,3.200,0.90,"255,255,255,0",Cellulose (Loose Fill) [R-3.2/in.],,
"Cellulose Fiber (heat cond.: 0,04 W/mK)",Insulations,0.040,0.0230,3.623,0.90,"255,255,255,0","Cellulose Fiber (heat cond.: 0,04 W/mK) [R-3.62/in.]",WUFI-Passive Database,
CompaCFoam 100,Insulations,0.038,0.0219,3.800,0.90,,CompaCFoam 100 [R-3.8/in.],,
CompaCFoam 200,Insulations,0.047,0.0269,3.100,0.90,,CompaCFoam 200 [R-3.1/in.],,
"Cork (heat cond.: 0,04 W/mK)",Insulations,0.040,0.0231,3.606,0.90,"255,255,255,0","Cork (heat cond.: 0,04 W/mK) [R-3.61/in.]",WUFI-Passive Database,
DOW Thermax,Insulations,0.022,0.0128,6.510,0.90,"255,255,153,255",DOW Thermax [R-6.51/in.],,
DOW Thermax (Derated to R-5.5/in),Insulations,0.026,0.0151,5.505,0.90,"255,255,153,255",DOW Thermax (Derated to R-5.5/in) [R-5.5/in.],,
DOW Thermax XARMOR,Insulations,0.021,0.0121,6.900,0.90,"255,255,153,255",DOW Thermax XARMOR [R-6.9/in.],Manufacturer,Polyisocyanurate Board Foam
EPS (heat cond.: 0.04 W/mK - density: 15 kg/m3),Insulations,0.040,0.0231,3.606,0.90,"255,255,255,0",EPS (heat cond.: 0.04 W/mK - density: 15 kg/m3) [R-3.61/in.],WUFI-Passive Database,
EPS (Neopor Graphit),Insulations,0.029,0.0167,4.999,0.90,"255,225,225,175",EPS (Neopor Graphit) [R-5/in.],,
EPS (Type I),Insulations,0.039,0.0225,3.704,0.90,"255,255,255,0",EPS (Type I) [R-3.7/in.],,
EPS (Type II),Insulations,0.036,0.0208,4.006,0.90,"255,255,255,0",EPS (Type II) [R-4.01/in.],,
